0,0.07981134951114655,0.0775646
100,0.07597282528877258,0.0699386
200,0.05077773332595825,0.0518269
300,0.04021313413977623,0.0410928
400,0.037035610526800156,0.0378453
500,0.034872498363256454,0.0344674
600,0.03566746413707733,0.0331898
700,0.030656108632683754,0.0310215
800,0.029737181961536407,0.029913
900,0.028143741190433502,0.0291297
1000,0.025676116347312927,0.0261495
1100,0.024243218824267387,0.0221593
1200,0.020748699083924294,0.0220554
1300,0.021606801077723503,0.0218892
1400,0.018592594191432,0.0213939
1500,0.017081644386053085,0.0196137
1600,0.018377352505922318,0.0194005
1700,0.019615117460489273,0.0173283
1800,0.01540233101695776,0.0180271
1900,0.015081088989973068,0.0170678
2000,0.019031018018722534,0.0170727
2100,0.014149694703519344,0.0152486
2200,0.018405010923743248,0.0176683
2300,0.016993312165141106,0.017855
2400,0.018958469852805138,0.017
2500,0.01868821308016777,0.0165309
2600,0.017873210832476616,0.0159781
2700,0.02007417194545269,0.0199232
2800,0.017463920637965202,0.0173157
2900,0.015511594712734222,0.0169056
3000,0.015984680503606796,0.0171891
